recno,M1,M2,R2,Per,Sep,logJ,logjsys,logjmg,logjgr,logjca,logjtot,logMLR2,zeta,logT2,log(g2),logL2,Pdot,logt,logt0,Step,Teff2,UxMag,BxMag,BMag,VMag,RMag,IMag,JMag,HMag,KMag,LMag,L'Mag,M'Mag,X,SpT
762,0.75,0.2,0.229,2.8422,0.997,50.968,33.939,33.713,33.546,,33.939,,0.77,3.517,5.019,31.327,-2.87E-13,8.63066,8.2608,398000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
763,0.75,0.2,0.229,2.8432,0.997,50.968,33.938,33.713,33.546,,33.938,,0.77,3.517,5.019,31.327,-2.87E-13,8.63025,8.25985,398000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
764,0.75,0.2,0.229,2.8442,0.998,50.968,33.938,33.713,33.545,,33.938,,0.77,3.517,5.019,31.327,-2.86E-13,8.62985,8.2589,398000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
765,0.75,0.2,0.229,2.8452,0.998,50.968,33.938,33.712,33.545,,33.938,,0.77,3.517,5.019,31.327,-2.86E-13,8.62944,8.25794,398000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
766,0.75,0.2,0.229,2.8462,0.998,50.968,33.937,33.712,33.545,,33.937,,0.77,3.517,5.019,31.327,-2.86E-13,8.62904,8.25699,399000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
767,0.75,0.2,0.229,2.8472,0.998,50.969,33.937,33.711,33.544,,33.937,,0.77,3.517,5.019,31.327,-2.86E-13,8.62863,8.25603,399000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
768,0.75,0.2,0.229,2.8482,0.999,50.969,33.936,33.711,33.544,,33.936,,0.77,3.517,5.019,31.327,-2.86E-13,8.62822,8.25506,399000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
769,0.75,0.2,0.229,2.8492,0.999,50.969,33.936,33.711,33.543,,33.936,,0.77,3.517,5.019,31.327,-2.86E-13,8.62781,8.2541,400000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
770,0.75,0.2,0.229,2.8502,0.999,50.969,33.936,33.71,33.543,,33.936,,0.77,3.517,5.019,31.327,-2.85E-13,8.6274,8.25313,400000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
771,0.75,0.2,0.229,2.8512,0.999,50.969,33.935,33.71,33.543,,33.935,,0.77,3.517,5.019,31.327,-2.85E-13,8.62699,8.25216,400000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
772,0.75,0.2,0.229,2.8522,1.0,50.969,33.935,33.71,33.542,,33.935,,0.77,3.517,5.019,31.327,-2.85E-13,8.62658,8.25119,400000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
773,0.75,0.2,0.229,2.8532,1.0,50.969,33.935,33.709,33.542,,33.935,,0.77,3.517,5.019,31.327,-2.85E-13,8.62617,8.25021,400000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
774,0.75,0.2,0.229,2.8542,1.0,50.969,33.934,33.709,33.542,,33.934,,0.77,3.517,5.019,31.327,-2.85E-13,8.62576,8.24923,401000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
775,0.75,0.2,0.229,2.8552,1.0,50.969,33.934,33.709,33.541,,33.934,,0.77,3.517,5.019,31.327,-2.85E-13,8.62535,8.24825,401000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
776,0.75,0.2,0.229,2.8562,1.001,50.969,33.934,33.708,33.541,,33.934,,0.77,3.517,5.019,31.327,-2.84E-13,8.62494,8.24727,401000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
777,0.75,0.2,0.229,2.8572,1.001,50.969,33.933,33.708,33.541,,33.933,,0.77,3.517,5.019,31.327,-2.84E-13,8.62452,8.24628,401000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
778,0.75,0.2,0.229,2.8582,1.001,50.969,33.933,33.708,33.54,,33.933,,0.77,3.517,5.019,31.327,-2.84E-13,8.62411,8.24529,402000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
779,0.75,0.2,0.229,2.8592,1.001,50.969,33.933,33.707,33.54,,33.933,,0.77,3.517,5.019,31.327,-2.84E-13,8.6237,8.2443,402000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
780,0.75,0.2,0.229,2.8602,1.001,50.969,33.932,33.707,33.54,,33.932,,0.77,3.517,5.019,31.327,-2.84E-13,8.62328,8.2433,402000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
781,0.75,0.2,0.229,2.8612,1.002,50.969,33.932,33.707,33.539,,33.932,,0.77,3.517,5.019,31.327,-2.84E-13,8.62286,8.24231,402000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
782,0.75,0.2,0.229,2.8622,1.002,50.969,33.932,33.706,33.539,,33.932,,0.77,3.517,5.019,31.327,-2.83E-13,8.62245,8.24131,402000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
783,0.75,0.2,0.229,2.8632,1.002,50.969,33.931,33.706,33.538,,33.931,,0.77,3.517,5.019,31.327,-2.83E-13,8.62203,8.2403,403000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
784,0.75,0.2,0.229,2.8642,1.002,50.969,33.931,33.705,33.538,,33.931,,0.77,3.517,5.019,31.327,-2.83E-13,8.62161,8.23929,403000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
785,0.75,0.2,0.229,2.8652,1.003,50.969,33.93,33.705,33.538,,33.93,,0.77,3.517,5.019,31.327,-2.83E-13,8.62119,8.23828,403000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
786,0.75,0.2,0.229,2.8662,1.003,50.969,33.93,33.705,33.537,,33.93,,0.77,3.517,5.019,31.327,-2.83E-13,8.62077,8.23727,404000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
787,0.75,0.2,0.229,2.8672,1.003,50.97,33.93,33.704,33.537,,33.93,,0.77,3.517,5.019,31.327,-2.83E-13,8.62035,8.23626,404000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
788,0.75,0.2,0.229,2.8682,1.003,50.97,33.929,33.704,33.537,,33.929,,0.77,3.517,5.019,31.327,-2.82E-13,8.61993,8.23524,404000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
789,0.75,0.2,0.229,2.8692,1.004,50.97,33.929,33.704,33.536,,33.929,,0.77,3.517,5.019,31.327,-2.82E-13,8.61951,8.23421,404000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
790,0.75,0.2,0.229,2.8702,1.004,50.97,33.929,33.703,33.536,,33.929,,0.77,3.517,5.019,31.327,-2.82E-13,8.61909,8.23319,404000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
791,0.75,0.2,0.229,2.8712,1.004,50.97,33.928,33.703,33.536,,33.928,,0.77,3.517,5.019,31.327,-2.82E-13,8.61867,8.23216,405000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
792,0.75,0.2,0.229,2.8722,1.004,50.97,33.928,33.703,33.535,,33.928,,0.77,3.517,5.019,31.327,-2.82E-13,8.61825,8.23113,405000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
793,0.75,0.2,0.229,2.8732,1.004,50.97,33.928,33.702,33.535,,33.928,,0.77,3.517,5.019,31.327,-2.82E-13,8.61782,8.2301,405000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
794,0.75,0.2,0.229,2.8742,1.005,50.97,33.927,33.702,33.535,,33.927,,0.77,3.517,5.019,31.327,-2.81E-13,8.6174,8.22906,405000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
795,0.75,0.2,0.229,2.8752,1.005,50.97,33.927,33.702,33.534,,33.927,,0.77,3.517,5.019,31.327,-2.81E-13,8.61697,8.22802,406000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
796,0.75,0.2,0.229,2.8762,1.005,50.97,33.927,33.701,33.534,,33.927,,0.77,3.517,5.019,31.327,-2.81E-13,8.61655,8.22698,406000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
797,0.75,0.2,0.229,2.8772,1.005,50.97,33.926,33.701,33.534,,33.926,,0.77,3.517,5.019,31.327,-2.81E-13,8.61612,8.22593,406000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
798,0.75,0.2,0.229,2.8782,1.006,50.97,33.926,33.7,33.533,,33.926,,0.77,3.517,5.019,31.327,-2.81E-13,8.61569,8.22488,406000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
799,0.75,0.2,0.229,2.8792,1.006,50.97,33.926,33.7,33.533,,33.926,,0.77,3.517,5.019,31.327,-2.81E-13,8.61527,8.22383,406000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
800,0.75,0.2,0.229,2.8802,1.006,50.97,33.925,33.7,33.532,,33.925,,0.77,3.517,5.019,31.327,-2.8E-13,8.61484,8.22277,407000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
801,0.75,0.2,0.229,2.8812,1.006,50.97,33.925,33.699,33.532,,33.925,,0.77,3.517,5.019,31.327,-2.8E-13,8.61441,8.22171,407000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
802,0.75,0.2,0.229,2.8822,1.007,50.97,33.924,33.699,33.532,,33.924,,0.77,3.517,5.019,31.327,-2.8E-13,8.61398,8.22065,407000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
803,0.75,0.2,0.229,2.8832,1.007,50.97,33.924,33.699,33.531,,33.924,,0.77,3.517,5.019,31.327,-2.8E-13,8.61355,8.21959,408000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
804,0.75,0.2,0.229,2.8842,1.007,50.97,33.924,33.698,33.531,,33.924,,0.77,3.517,5.019,31.327,-2.8E-13,8.61312,8.21852,408000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
805,0.75,0.2,0.229,2.8852,1.007,50.97,33.923,33.698,33.531,,33.923,,0.77,3.517,5.019,31.327,-2.8E-13,8.61269,8.21745,408000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
806,0.75,0.2,0.229,2.8862,1.008,50.971,33.923,33.698,33.53,,33.923,,0.77,3.517,5.019,31.327,-2.8E-13,8.61225,8.21637,408000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
807,0.75,0.2,0.229,2.8872,1.008,50.971,33.923,33.697,33.53,,33.923,,0.77,3.517,5.019,31.327,-2.79E-13,8.61182,8.21529,408000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
808,0.75,0.2,0.229,2.8882,1.008,50.971,33.922,33.697,33.53,,33.922,,0.77,3.517,5.019,31.327,-2.79E-13,8.61139,8.21421,409000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
809,0.75,0.2,0.229,2.8892,1.008,50.971,33.922,33.697,33.529,,33.922,,0.77,3.517,5.019,31.327,-2.79E-13,8.61095,8.21313,409000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
810,0.75,0.2,0.229,2.8902,1.008,50.971,33.922,33.696,33.529,,33.922,,0.77,3.517,5.019,31.327,-2.79E-13,8.61052,8.21204,409000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
811,0.75,0.2,0.229,2.8912,1.009,50.971,33.921,33.696,33.529,,33.921,,0.77,3.517,5.019,31.327,-2.79E-13,8.61008,8.21095,409000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
812,0.75,0.2,0.229,2.8922,1.009,50.971,33.921,33.696,33.528,,33.921,,0.77,3.517,5.019,31.327,-2.78E-13,8.60964,8.20985,410000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
813,0.75,0.2,0.229,2.8932,1.009,50.971,33.921,33.695,33.528,,33.921,,0.77,3.517,5.019,31.327,-2.78E-13,8.60921,8.20875,410000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
814,0.75,0.2,0.229,2.8942,1.009,50.971,33.92,33.695,33.528,,33.92,,0.77,3.517,5.019,31.327,-2.78E-13,8.60877,8.20765,410000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
815,0.75,0.2,0.229,2.8952,1.01,50.971,33.92,33.695,33.527,,33.92,,0.77,3.517,5.019,31.327,-2.78E-13,8.60833,8.20654,410000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
816,0.75,0.2,0.229,2.8962,1.01,50.971,33.92,33.694,33.527,,33.92,,0.77,3.517,5.019,31.327,-2.78E-13,8.60789,8.20544,410000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
817,0.75,0.2,0.229,2.8972,1.01,50.971,33.919,33.694,33.527,,33.919,,0.77,3.517,5.019,31.327,-2.78E-13,8.60745,8.20432,411000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
818,0.75,0.2,0.229,2.8982,1.01,50.971,33.919,33.693,33.526,,33.919,,0.77,3.517,5.019,31.327,-2.78E-13,8.60701,8.20321,411000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
819,0.75,0.2,0.229,2.8992,1.011,50.971,33.919,33.693,33.526,,33.919,,0.77,3.517,5.019,31.327,-2.77E-13,8.60657,8.20209,411000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
820,0.75,0.2,0.229,2.9002,1.011,50.971,33.918,33.693,33.525,,33.918,,0.77,3.517,5.019,31.327,-2.77E-13,8.60613,8.20096,412000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
821,0.75,0.2,0.229,2.9012,1.011,50.971,33.918,33.692,33.525,,33.918,,0.77,3.517,5.019,31.327,-2.77E-13,8.60568,8.19984,412000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
822,0.75,0.2,0.229,2.9022,1.011,50.971,33.917,33.692,33.525,,33.917,,0.77,3.517,5.019,31.327,-2.77E-13,8.60524,8.19871,412000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
823,0.75,0.2,0.229,2.9032,1.011,50.971,33.917,33.692,33.524,,33.917,,0.77,3.517,5.019,31.327,-2.77E-13,8.6048,8.19757,412000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
824,0.75,0.2,0.229,2.9042,1.012,50.971,33.917,33.691,33.524,,33.917,,0.77,3.517,5.019,31.327,-2.77E-13,8.60435,8.19644,412000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
825,0.75,0.2,0.229,2.9052,1.012,50.971,33.916,33.691,33.524,,33.916,,0.77,3.517,5.019,31.327,-2.76E-13,8.60391,8.1953,413000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
826,0.75,0.2,0.229,2.9062,1.012,50.972,33.916,33.691,33.523,,33.916,,0.77,3.517,5.019,31.327,-2.76E-13,8.60346,8.19415,413000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
827,0.75,0.2,0.229,2.9072,1.012,50.972,33.916,33.69,33.523,,33.916,,0.77,3.517,5.019,31.327,-2.76E-13,8.60301,8.193,413000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
828,0.75,0.2,0.229,2.9082,1.013,50.972,33.915,33.69,33.523,,33.915,,0.77,3.517,5.019,31.327,-2.76E-13,8.60257,8.19185,413000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
829,0.75,0.2,0.229,2.9092,1.013,50.972,33.915,33.69,33.522,,33.915,,0.77,3.517,5.019,31.327,-2.76E-13,8.60212,8.1907,414000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
830,0.75,0.2,0.229,2.9102,1.013,50.972,33.915,33.689,33.522,,33.915,,0.77,3.517,5.019,31.327,-2.76E-13,8.60167,8.18954,414000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
831,0.75,0.2,0.229,2.9112,1.013,50.972,33.914,33.689,33.522,,33.914,,0.77,3.517,5.019,31.327,-2.76E-13,8.60122,8.18837,414000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
832,0.75,0.2,0.229,2.9122,1.014,50.972,33.914,33.689,33.521,,33.914,,0.77,3.517,5.019,31.327,-2.75E-13,8.60077,8.18721,414000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
833,0.75,0.2,0.229,2.9132,1.014,50.972,33.914,33.688,33.521,,33.914,,0.77,3.517,5.019,31.327,-2.75E-13,8.60032,8.18604,415000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
834,0.75,0.2,0.229,2.9142,1.014,50.972,33.913,33.688,33.521,,33.913,,0.77,3.517,5.019,31.327,-2.75E-13,8.59986,8.18486,415000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
835,0.75,0.2,0.229,2.9152,1.014,50.972,33.913,33.688,33.52,,33.913,,0.77,3.517,5.019,31.327,-2.75E-13,8.59941,8.18368,415000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
836,0.75,0.2,0.229,2.9162,1.014,50.972,33.913,33.687,33.52,,33.913,,0.77,3.517,5.019,31.327,-2.75E-13,8.59896,8.1825,415000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
837,0.75,0.2,0.229,2.9172,1.015,50.972,33.912,33.687,33.52,,33.912,,0.77,3.517,5.019,31.327,-2.75E-13,8.5985,8.18131,416000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
838,0.75,0.2,0.229,2.9182,1.015,50.972,33.912,33.687,33.519,,33.912,,0.77,3.517,5.019,31.327,-2.74E-13,8.59805,8.18012,416000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
839,0.75,0.2,0.229,2.9192,1.015,50.972,33.912,33.686,33.519,,33.912,,0.77,3.517,5.019,31.327,-2.74E-13,8.59759,8.17893,416000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
840,0.75,0.2,0.229,2.9202,1.015,50.972,33.911,33.686,33.519,,33.911,,0.77,3.517,5.019,31.327,-2.74E-13,8.59713,8.17773,416000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
841,0.75,0.2,0.229,2.9212,1.016,50.972,33.911,33.685,33.518,,33.911,,0.77,3.517,5.019,31.327,-2.74E-13,8.59668,8.17653,416000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
842,0.75,0.2,0.229,2.9222,1.016,50.972,33.911,33.685,33.518,,33.911,,0.77,3.517,5.019,31.327,-2.74E-13,8.59622,8.17532,417000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
843,0.75,0.2,0.229,2.9232,1.016,50.972,33.91,33.685,33.517,,33.91,,0.77,3.517,5.019,31.327,-2.74E-13,8.59576,8.17411,417000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
844,0.75,0.2,0.229,2.9242,1.016,50.972,33.91,33.684,33.517,,33.91,,0.77,3.517,5.019,31.327,-2.73E-13,8.5953,8.1729,417000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
845,0.75,0.2,0.229,2.9252,1.017,50.972,33.909,33.684,33.517,,33.909,,0.77,3.517,5.019,31.327,-2.73E-13,8.59484,8.17168,417000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
846,0.75,0.2,0.229,2.9262,1.017,50.972,33.909,33.684,33.516,,33.909,,0.77,3.517,5.019,31.327,-2.73E-13,8.59438,8.17046,418000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
847,0.75,0.2,0.229,2.9272,1.017,50.973,33.909,33.683,33.516,,33.909,,0.77,3.517,5.019,31.327,-2.73E-13,8.59392,8.16923,418000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
848,0.75,0.2,0.229,2.9282,1.017,50.973,33.908,33.683,33.516,,33.908,,0.77,3.517,5.019,31.327,-2.73E-13,8.59346,8.168,418000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
849,0.75,0.2,0.229,2.9292,1.018,50.973,33.908,33.683,33.515,,33.908,,0.77,3.517,5.019,31.327,-2.73E-13,8.59299,8.16676,418000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
850,0.75,0.2,0.229,2.9302,1.018,50.973,33.908,33.682,33.515,,33.908,,0.77,3.517,5.019,31.327,-2.73E-13,8.59253,8.16552,419000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
851,0.75,0.2,0.229,2.9312,1.018,50.973,33.907,33.682,33.515,,33.907,,0.77,3.517,5.019,31.327,-2.72E-13,8.59206,8.16428,419000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
852,0.75,0.2,0.229,2.9322,1.018,50.973,33.907,33.682,33.514,,33.907,,0.77,3.517,5.019,31.327,-2.72E-13,8.5916,8.16303,419000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
853,0.75,0.2,0.229,2.9332,1.018,50.973,33.907,33.681,33.514,,33.907,,0.77,3.517,5.019,31.327,-2.72E-13,8.59113,8.16178,419000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
854,0.75,0.2,0.229,2.9342,1.019,50.973,33.906,33.681,33.514,,33.906,,0.77,3.517,5.019,31.327,-2.72E-13,8.59066,8.16052,420000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
855,0.75,0.2,0.229,2.9352,1.019,50.973,33.906,33.681,33.513,,33.906,,0.77,3.517,5.019,31.327,-2.72E-13,8.5902,8.15926,420000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
856,0.75,0.2,0.229,2.9362,1.019,50.973,33.906,33.68,33.513,,33.906,,0.77,3.517,5.019,31.327,-2.72E-13,8.58973,8.158,420000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
857,0.75,0.2,0.229,2.9372,1.019,50.973,33.905,33.68,33.513,,33.905,,0.77,3.517,5.019,31.327,-2.71E-13,8.58926,8.15673,420000.0,3289,15.27,13.76,13.79,12.4,11.38,9.99,8.47,7.9,7.61,7.38,7.29,7.42,15.95,M4.0
